City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Kieta,PG,-6.2167,155.6333,78.48,84,74,4.32,light rain
231,Sambava,MG,-14.2667,50.1667,74.84,84,10,8.99,light rain
232,Mahebourg,MU,-20.4081,57.7,75.49,69,40,12.66,light rain
233,Homer,US,59.6425,-151.5483,50.07,88,90,3.44,overcast clouds
234,Smithers,CA,54.7804,-127.1743,57.52,54,20,5.75,few clouds
235,Palu,ID,-0.8917,119.8707,75.47,92,89,3.06,overcast clouds
236,Pasighat,IN,28.0667,95.3333,75.43,92,91,3.67,overcast clouds
237,Lompoc,US,34.6391,-120.4579,65.93,86,90,1.01,overcast clouds
238,Marsa Matruh,EG,31.3525,27.2453,73.6,60,40,11.5,scattered clouds
239,Aripuana,BR,-9.1667,-60.6333,92.91,30,5,3.91,clear sky
240,Sinop,TR,41.7711,34.8709,52.95,81,55,4.12,broken clouds
241,Ngunguru,NZ,-35.6167,174.5,53.17,81,94,5.73,overcast clouds
242,Omboue,GA,-1.5746,9.2618,78.39,84,67,8.59,broken clouds
243,Bilma,NE,18.6853,12.9164,105.48,8,85,7.29,overcast clouds
244,Mehamn,NO,71.0357,27.8492,69.75,32,0,11.5,clear sky
245,Karratha,AU,-20.7377,116.8463,68.04,49,100,9.15,overcast clouds
246,Lasa,IT,46.6166,10.7002,73.31,80,76,1.79,broken clouds
247,Seoul,KR,37.5683,126.9778,58.6,88,90,3.53,overcast clouds
248,Zaysan,KZ,47.4667,84.8667,72.68,42,60,9.31,broken clouds
249,Katherine,AU,-14.4667,132.2667,79.12,57,40,7.49,scattered clouds
250,Catamarca,AR,-28.4696,-65.7852,78.58,59,0,1.99,clear sky
251,Kovdor,RU,67.5662,30.4758,71.17,31,61,10.94,broken clouds
252,Mar Del Plata,AR,-38.0023,-57.5575,52.12,56,0,1.99,light rain
253,Rocha,UY,-34.4833,-54.3333,58.75,52,52,9.91,broken clouds
254,Tazovskiy,RU,67.4667,78.7,31.78,91,57,11.61,broken clouds
255,Quelimane,MZ,-17.8786,36.8883,69.75,94,75,6.91,light rain
256,Kruisfontein,ZA,-34.0033,24.7314,50.88,67,14,4.59,few clouds
257,Bemidji,US,47.4736,-94.8803,80.89,49,40,11.5,scattered clouds
258,Praia,CV,14.9215,-23.5087,81.14,57,40,21.85,scattered clouds
259,Bambous Virieux,MU,-20.3428,57.7575,75.45,69,40,18.25,light rain
260,Biak,ID,-0.9131,122.8766,76.87,86,95,5.91,overcast clouds
261,Khani,GE,41.9563,42.9566,62.17,94,20,1.07,few clouds
262,Roanoke Rapids,US,36.4615,-77.6542,82.45,83,75,12.26,broken clouds
263,Porto Tolle,IT,44.9497,12.3245,85.08,63,35,8.39,scattered clouds
264,Port Macquarie,AU,-31.4333,152.9167,51.76,100,11,0.0,few clouds
265,Takapau,NZ,-40.0333,176.35,47.44,91,0,2.91,clear sky
266,Udachnyy,RU,66.4167,112.4,56.79,67,100,12.68,overcast clouds
267,Bundaberg,AU,-24.85,152.35,64.69,94,90,5.75,overcast clouds
268,Warrnambool,AU,-38.3833,142.4833,50.81,79,100,18.43,overcast clouds
269,Begowal,IN,31.6167,75.5167,78.78,33,9,3.4,clear sky
270,Cidreira,BR,-30.1811,-50.2056,66.02,60,3,5.14,clear sky
271,Takoradi,GH,4.8845,-1.7554,83.68,73,49,11.52,scattered clouds
272,Ust-Nera,RU,64.5667,143.2,48.0,48,8,2.28,clear sky
273,Severnyy,RU,50.677,36.5532,64.44,45,0,11.18,light rain
274,Akyab,MM,20.15,92.9,84.34,80,65,8.77,broken clouds
275,Den Helder,NL,52.9599,4.7593,74.98,83,43,13.0,haze
276,Acapulco,MX,16.8634,-99.8901,85.82,70,75,3.24,broken clouds
277,Civitanova Marche,IT,43.307,13.7206,80.85,54,8,5.53,clear sky
278,Tarsus,TR,36.9188,34.8784,75.58,68,3,6.6,clear sky
279,Ilo,PE,-17.6394,-71.3375,65.26,72,90,0.0,overcast clouds
280,Mokrousovo,RU,55.8103,66.7653,52.45,88,100,7.38,overcast clouds
281,Mandalgovi,MN,45.7625,106.2708,55.31,43,0,8.79,clear sky
282,Umba,RU,66.6871,34.3429,60.35,58,37,7.2,scattered clouds
283,Wajir,KE,1.7471,40.0573,86.83,38,99,8.46,overcast clouds
284,Clyde River,CA,70.4692,-68.5914,28.63,93,90,13.8,overcast clouds
285,Mazagao,BR,-0.115,-51.2894,87.85,57,7,5.12,heavy intensity rain
286,Alta,NO,69.9689,23.2717,76.24,42,0,8.05,clear sky
287,Shingu,JP,33.7333,135.9833,72.91,97,100,9.44,light rain
288,Asfi,MA,32.2994,-9.2372,67.3,72,75,19.37,broken clouds
289,Asau,RO,46.4333,26.4,61.72,81,100,4.47,overcast clouds
290,Deputatskiy,RU,69.3,139.9,55.92,54,100,4.14,overcast clouds
291,Bubaque,GW,11.2833,-15.8333,79.12,73,99,13.22,overcast clouds
292,Ajdabiya,LY,30.7554,20.2263,91.47,23,1,7.2,clear sky
293,Corpus Christi,US,27.8006,-97.3964,82.42,80,90,3.0,overcast clouds
294,Yambio,SS,4.5721,28.3955,71.64,84,100,4.54,overcast clouds
295,Belmonte,BR,-15.8631,-38.8828,82.9,64,15,8.14,few clouds
296,General Roca,AR,-39.0333,-67.5833,61.2,36,84,29.91,broken clouds
297,Itarema,BR,-2.9248,-39.9167,86.58,56,1,15.39,clear sky
298,Hasaki,JP,35.7333,140.8333,68.4,80,100,19.69,overcast clouds
299,Kloulklubed,PW,7.0419,134.2556,77.5,74,23,6.89,few clouds
300,Lovozero,RU,68.005,35.0117,73.17,36,21,12.57,few clouds
301,Trairi,BR,-3.2778,-39.2689,86.54,54,0,11.3,clear sky
302,Codrington,AU,-38.2667,141.9667,53.71,70,100,21.81,overcast clouds
303,Kristinehamn,SE,59.3098,14.1081,73.38,44,35,2.44,scattered clouds
304,Lagos,NG,6.5833,3.75,88.12,71,21,8.75,few clouds
305,Paamiut,GL,61.994,-49.6678,35.91,72,100,7.7,overcast clouds
306,Yakeshi,CN,49.2833,120.7333,46.6,90,97,6.26,light rain
307,Mayna,RU,54.1135,47.6231,54.59,63,41,15.19,scattered clouds
308,Yanam,IN,16.7333,82.2167,83.86,78,44,4.34,scattered clouds
309,Amurzet,RU,47.6967,131.0981,52.77,96,100,9.95,overcast clouds
310,Port Hardy,CA,50.6996,-127.4199,51.98,87,90,6.91,overcast clouds
311,Fort Nelson,CA,58.8053,-122.7002,67.59,37,20,6.91,few clouds
312,Hervey Bay,AU,-25.2986,152.8535,65.01,91,100,4.0,overcast clouds
313,Longyearbyen,SJ,78.2186,15.6401,35.44,80,20,11.5,few clouds
314,Hofn,IS,64.2539,-15.2082,51.82,66,40,5.75,scattered clouds
315,Grindavik,IS,63.8424,-22.4338,51.57,87,90,29.77,light rain
316,Alofi,NU,-19.0595,-169.9187,73.29,94,91,8.05,light rain
317,Poum,NC,-20.2333,164.0167,72.91,70,74,11.81,broken clouds
318,Vao,NC,-22.6667,167.4833,71.26,73,95,16.89,overcast clouds
319,Norman Wells,CA,65.282,-126.8329,51.84,82,90,3.44,overcast clouds
320,Puerto Cabezas,NI,14.0351,-83.3888,85.96,79,40,9.22,scattered clouds
321,Kautokeino,NO,69.0125,23.0412,72.68,32,27,13.4,scattered clouds
322,Marzuq,YE,14.4,46.4667,81.01,51,44,8.14,scattered clouds
323,Imeni Zhelyabova,RU,58.9544,36.5956,63.03,54,81,5.82,broken clouds
324,Seguela,CI,7.9611,-6.6731,87.06,51,56,3.83,light rain
325,Chikhli,IN,20.35,76.25,80.51,61,22,9.24,few clouds
326,Inhambane,MZ,-23.865,35.3833,69.78,64,20,4.61,few clouds
327,Atasu,KZ,48.6814,71.6433,66.24,74,100,12.48,overcast clouds
328,Hirara,JP,24.8,125.2833,82.69,90,24,19.35,few clouds
329,Okhotsk,RU,59.3833,143.3,34.7,96,36,3.33,scattered clouds
330,Oranjestad,AW,12.524,-70.027,84.15,70,20,25.32,few clouds
331,Kaitangata,NZ,-46.2817,169.8464,43.93,83,89,4.61,overcast clouds
332,Banjar,ID,-8.19,114.9675,80.46,86,73,4.23,broken clouds
333,Chokurdakh,RU,70.6333,147.9167,59.43,41,100,8.66,overcast clouds
334,Mvangue,CM,2.9667,11.5167,71.76,91,100,1.97,light rain
335,Mayo,US,38.8876,-76.5119,83.08,80,100,3.0,overcast clouds
336,Kholodnyy,RU,62.7167,147.95,42.78,69,26,3.98,scattered clouds
337,Batagay-Alyta,RU,67.8006,130.4114,56.68,62,100,4.61,overcast clouds
338,Waseca,US,44.0777,-93.5074,84.09,26,1,17.27,clear sky
339,Umm Kaddadah,SD,13.6017,26.6876,97.32,13,100,10.74,overcast clouds
340,Iwanai,JP,42.9744,140.5089,60.03,93,100,13.11,overcast clouds
341,Richards Bay,ZA,-28.783,32.0377,62.65,71,100,22.5,light rain
342,Rafaela,AR,-31.2503,-61.4867,73.99,38,2,4.0,clear sky
343,Curumani,CO,9.1999,-73.5427,96.46,40,99,3.78,overcast clouds
344,Vila,PT,42.0304,-8.1588,60.75,48,20,7.78,few clouds
345,Deniliquin,AU,-35.5333,144.9667,50.0,93,6,9.35,clear sky
346,San Roque,ES,36.2107,-5.3842,74.21,68,20,8.05,few clouds
347,Abapo,BO,-18.8333,-63.4667,83.14,36,67,8.97,broken clouds
348,Garner,US,35.7113,-78.6142,82.31,80,100,11.32,light rain
349,Srandakan,ID,-7.9386,110.2506,63.73,91,99,5.97,overcast clouds
350,Daru,PG,-9.0763,143.2092,77.5,87,99,12.15,overcast clouds
351,Lagoa,PT,39.05,-27.9833,61.21,68,92,12.21,overcast clouds
352,Moose Factory,CA,51.2585,-80.6094,66.2,68,90,13.8,overcast clouds
353,Tagusao,PH,9.1924,117.8141,80.65,85,87,4.97,overcast clouds
354,Sterling,US,39.0062,-77.4286,83.01,72,75,1.01,broken clouds
355,Ixtapa,MX,20.7,-105.2,83.43,74,90,5.75,overcast clouds
356,Aniva,RU,46.7144,142.5294,46.51,94,100,4.79,moderate rain
357,Bengkulu,ID,-3.8004,102.2655,80.06,83,96,2.59,overcast clouds
358,Yining,CN,29.0361,114.5636,63.0,97,100,1.3,overcast clouds
359,Akonolinga,CM,3.7667,12.25,75.49,80,97,1.45,overcast clouds
360,Viradouro,BR,-20.8731,-48.2969,86.09,22,0,2.59,clear sky
361,Tateyama,JP,34.9833,139.8667,71.1,82,100,17.2,overcast clouds
362,Le Moule,GP,16.3332,-61.3473,87.84,68,19,17.13,few clouds
363,Suntar,RU,62.1444,117.6319,60.04,45,6,4.81,clear sky
364,Awbari,LY,26.5921,12.7805,105.75,8,26,7.4,scattered clouds
365,Samarkand,UZ,39.6542,66.9597,83.62,28,0,6.91,clear sky
366,Kamaishi,JP,39.2667,141.8833,63.03,92,100,17.36,light rain
367,Vazante,BR,-17.9869,-46.9078,87.42,28,7,5.14,clear sky
368,Millinocket,US,45.6573,-68.7098,71.35,68,1,8.05,clear sky
369,Mana,GF,5.6592,-53.7767,81.97,81,63,8.52,light rain
370,Kropotkin,RU,45.4375,40.5756,57.22,83,71,8.12,light rain
371,Haimen,CN,23.1935,116.6142,82.29,93,72,6.2,broken clouds
372,Talnakh,RU,69.4865,88.3972,33.26,99,100,4.29,light snow
373,Maxixe,MZ,-23.8597,35.3472,69.62,64,20,4.61,few clouds
374,Marabba,SD,12.35,32.1833,89.2,43,63,8.7,light rain
375,Maragogi,BR,-9.0122,-35.2225,80.13,76,22,8.88,few clouds
376,Puerto Colombia,CO,10.9878,-74.9547,87.89,73,100,1.97,overcast clouds
377,Tabligbo,TG,6.5833,1.5,87.62,59,32,13.4,scattered clouds
378,Jessheim,NO,60.1415,11.1752,72.09,34,0,6.91,clear sky
379,Prachuap Khiri Khan,TH,12.2167,99.75,76.46,89,33,3.62,scattered clouds
380,Sheridan,US,44.8333,-106.9173,86.7,32,1,0.0,clear sky
381,Bermeo,ES,43.4209,-2.7215,60.85,92,100,11.14,overcast clouds
382,Luderitz,NA,-26.6481,15.1594,72.55,30,0,10.18,clear sky
383,Cherskiy,RU,68.75,161.3,58.32,40,91,6.08,overcast clouds
384,Sawakin,SD,19.1059,37.3321,88.03,58,51,7.23,broken clouds
385,Bongouanou,CI,6.6486,-4.1992,86.72,58,69,5.41,broken clouds
386,Port Blair,IN,11.6667,92.75,83.7,76,41,4.68,scattered clouds
387,Caravelas,BR,-17.7125,-39.2481,80.49,63,78,7.2,broken clouds
388,Shakawe,BW,-18.3667,21.85,57.63,20,6,5.77,clear sky
389,Sundargarh,IN,22.1167,84.0333,90.14,44,50,3.58,scattered clouds
390,Ushtobe,KZ,45.2514,77.9838,74.46,47,78,15.35,broken clouds
391,Vytegra,RU,61.0064,36.4481,61.18,65,0,2.3,clear sky
392,Korla,CN,41.7597,86.1469,83.5,14,50,1.9,scattered clouds
393,Russell,US,32.3502,-85.1999,84.99,53,1,5.12,clear sky
394,Preili,LV,56.2944,26.7246,60.82,73,81,4.9,broken clouds
395,Katete,UG,-0.7818,29.7544,63.28,92,99,3.09,light rain
396,Mindelo,CV,16.8901,-24.9804,80.15,54,40,21.45,scattered clouds
397,Pontes E Lacerda,BR,-15.2261,-59.3353,95.63,28,11,2.66,few clouds
398,Pierre,US,44.3683,-100.351,81.52,37,1,5.01,clear sky
399,Alekseyevsk,RU,57.8406,108.3492,61.43,42,3,2.59,clear sky
400,Nacozari,MX,25.3366,-108.2574,91.06,34,22,6.35,few clouds
401,Northam,GB,51.0333,-4.2167,61.48,76,91,11.01,overcast clouds
402,Hachinohe,JP,40.5,141.5,60.82,79,100,6.87,overcast clouds
403,San Quintin,MX,30.4833,-115.95,67.57,64,42,7.65,scattered clouds
404,Celestun,MX,20.8667,-90.4,88.56,53,15,2.21,few clouds
405,Lusk,IE,53.5274,-6.1642,64.74,51,75,16.42,broken clouds
406,Vardo,NO,70.3705,31.1107,68.2,54,0,6.91,clear sky
407,Quarai,BR,-30.3875,-56.4514,69.06,53,18,8.16,few clouds
408,Kulhudhuffushi,MV,6.6221,73.07,82.92,75,100,16.42,overcast clouds
409,Kananga,CD,-5.8958,22.4178,77.97,57,100,4.83,overcast clouds
410,Stephenville,US,32.2207,-98.2023,73.94,83,90,4.61,overcast clouds
411,Lexington Park,US,38.2668,-76.4538,82.06,76,90,1.99,overcast clouds
412,Leshukonskoye,RU,64.8989,45.7622,63.1,55,8,4.25,clear sky
413,Dehloran,IR,32.6941,47.2679,98.13,8,0,11.92,clear sky
414,Anchorage,US,61.2181,-149.9003,51.01,83,90,3.0,overcast clouds
415,Santa Maria,BR,-29.6842,-53.8069,72.7,49,0,3.06,clear sky
416,Lorengau,PG,-2.0226,147.2712,79.2,79,100,3.53,light rain
417,Bunbury,AU,-33.3333,115.6333,50.81,86,0,5.55,clear sky
418,Kununurra,AU,-15.7667,128.7333,69.78,73,4,1.14,clear sky
419,Merauke,ID,-8.4667,140.3333,75.45,89,96,10.6,overcast clouds
420,Nioro,GM,13.35,-15.75,102.72,21,69,11.54,broken clouds
421,Arlit,NE,18.7369,7.3853,109.87,5,35,11.7,scattered clouds
422,Viedma,AR,-40.8135,-62.9967,50.99,78,100,6.87,light rain
423,Verkhnevilyuysk,RU,63.4453,120.3167,62.33,58,25,6.85,scattered clouds
424,Wenatchee,US,47.4235,-120.3103,84.42,41,1,1.99,clear sky
425,Ilebo,CD,-4.3167,20.5833,81.39,53,17,0.47,few clouds
426,Pedernales,DO,18.0384,-71.744,87.28,56,100,1.14,overcast clouds
427,Bilibino,RU,68.0546,166.4372,47.57,43,37,3.04,scattered clouds
428,Sur,OM,22.5667,59.5289,94.12,45,0,9.4,clear sky
429,Walvis Bay,NA,-22.9575,14.5053,83.35,15,0,11.03,clear sky
430,Mahajanga,MG,-15.7167,46.3167,77.02,78,20,4.61,few clouds
431,Fortuna,US,40.5982,-124.1573,56.66,96,90,8.05,overcast clouds
432,Uarini,BR,-2.99,-65.1083,85.95,67,29,5.37,scattered clouds
433,Tokoroa,NZ,-38.2333,175.8667,44.15,77,21,1.99,few clouds
434,Kilis,TR,36.7161,37.115,75.43,34,0,9.08,clear sky
435,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,69,90,3.49,overcast clouds
436,Alugan,PH,12.2188,125.4808,79.5,85,100,4.79,overcast clouds
437,Acari,PE,-15.4311,-74.6158,74.68,54,88,7.45,overcast clouds
438,Fuxin,CN,42.0156,121.6589,60.31,53,11,6.62,few clouds
439,Male,MV,4.1748,73.5089,84.15,74,75,18.41,broken clouds
440,Vaasa,FI,63.096,21.6158,71.62,43,0,9.22,clear sky
441,Belaya Rechka,RU,43.4381,43.535,61.23,68,75,3.09,broken clouds
442,Cap Malheureux,MU,-19.9842,57.6142,75.69,67,1,5.99,clear sky
443,Santa Marta,CO,11.2408,-74.199,90.34,76,100,5.17,overcast clouds
444,Gorom-Gorom,BF,14.4439,-0.2361,101.68,19,49,20.13,scattered clouds
445,Guider,CM,9.9342,13.9486,103.08,25,16,5.19,few clouds
446,Lumeje,AO,-11.55,20.7833,67.5,40,3,4.72,clear sky
447,Rorvik,NO,64.8621,11.2373,76.98,48,0,13.8,clear sky
448,Middelburg,ZA,-25.7751,29.4648,48.7,71,92,11.1,overcast clouds
449,Mecca,SA,21.4267,39.8261,94.82,34,68,7.2,broken clouds
450,Broken Hill,AU,-31.95,141.4333,47.91,93,40,0.0,scattered clouds
451,Victoria Point,AU,-27.5833,153.3,61.34,94,31,1.99,scattered clouds
452,Jaque,PA,7.5175,-78.1703,82.26,81,94,6.24,moderate rain
453,Baykit,RU,61.67,96.37,45.72,84,100,4.36,overcast clouds
454,Tacna,PE,-18.0056,-70.2483,61.0,67,40,5.75,scattered clouds
455,Pangkalanbuun,ID,-2.6833,111.6167,74.48,92,91,2.89,overcast clouds
456,Kishtwar,IN,33.3167,75.7667,60.78,82,100,2.64,overcast clouds
457,Decatur,US,39.8403,-88.9548,81.32,47,1,9.22,clear sky
458,Constitucion,CL,-35.3333,-72.4167,62.98,78,100,11.61,overcast clouds
459,Tommot,RU,58.9564,126.2925,51.35,79,44,1.01,scattered clouds
460,Ryotsu,JP,38.0833,138.4333,65.07,77,100,8.3,overcast clouds
